,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
40, Not-in-family,0.005850032320620535,-0.2619355995742795,1.3085361662525357,0.23917993106410446,-0.6140563305526698,0.09127050994061825
41, Other-relative,0.001971557853910788,-0.07916386635120479,1.0258620689655173,0.20009946949602123,-0.6522953973305466,0.15113837312113176
42, Own-child,0.015287653522947609,-0.20955445377732831,1.1821937360299464,0.2295488928895045,-0.5713503945206748,0.17836833428469923
43, Unmarried,0.0010665804783451804,-0.15958756202532717,1.107792483544483,0.21121027213992039,-0.5857315059968826,0.12016250081576718
44, Wife,0.024337427278603774,0.17113772763545193,0.9181474657256177,-0.3039877195974757,0.3825322373196494,-0.16871226334640965
45, Canada,0.0007433742727860349,0.010145142599774363,0.99874119004375,-0.0660601572692972,0.5426185943528526,-0.01381571987728758
46, China,0.0,0.013837895106228243,0.9994945424242837,-0.30504364694471386,0.35132464278308095,0.16020045263498217
47, Columbia,0.00042016806722688926,-0.018787003716946683,1.001456546366726,0.19533905162647677,-0.6490933570312345,0.16038193882505258
48, Cuba,0.0005171299288946329,-0.0024616858081990835,1.000262472583027,0.018635553394911686,0.08932403546126091,0.042618700372711094
49, Dominican-Republic,0.0002262443438914019,-0.020773176259506313,1.0017807997409747,0.19540229885057472,-0.6494964036224891,0.0693628857786216
50, Ecuador,0.0,-0.006258284557617199,1.0001616292225635,0.19508647163407145,-0.6489637606646388,0.16017455956036852
51, El-Salvador,0.0003232062055591456,-0.01994752694383844,1.0022488635818803,0.14286201806997637,-0.1493218746577672,0.10784823949970557
52, England,0.0008726567550096931,0.043823071111956734,0.9949306735353758,-0.30593385214007784,0.5528570750224396,-0.1904669260700389
53, France,0.00012928248222365823,0.01470825740933436,0.9991503281373507,-0.20511078764353877,0.601488771281547,-0.03988355167394464
54, Germany,0.00035552682611506015,0.007224274430277728,0.9990652988187113,-0.045127373032613965,0.10173793684980552,0.08047379522959597
55, Greece,0.0,0.000354890929447746,0.9999794985341453,-0.00494905385735081,-0.1490945974679762,-0.03988355167394464
56, Guatemala,6.464124111182912e-05,-0.023440996468753972,1.002267573696145,0.19549724651765468,-0.6491745791786174,0.16051182377712991
57, Haiti,6.464124111182912e-05,-0.021698631456479503,1.0019430051813472,0.1954339378238342,-0.6491420695555874,0.1604598445595855
58, Holand-Netherlands,0.0,-0.006258284557617199,1.0001616292225635,0.19508647163407145,-0.6489637606646388,0.16017455956036852
59, Honduras,0.0,-0.008851266239118966,1.000323310701584,0.19511800840607824,-0.6489799361039963,0.16020045263498217
60, Hungary,0.0,-0.006258284557617199,1.0001616292225635,0.19508647163407145,-0.6489637606646388,0.16017455956036852
61, India,0.0002262443438914019,0.003526649235000212,0.9998177942167884,-0.05498059508408798,-0.14907841514984377,-0.08990944372574383
62, Iran,0.00029088558500323103,0.0076996432538495195,0.9994736254446269,-0.09076201261931724,-0.14919334303356885,-0.1257078142695357
63, Ireland,3.232062055591456e-05,0.003526649235000212,0.9998177942167884,-0.05498059508408798,0.351292285025591,0.16025226390685643
64, Italy,0.0004524886877828038,0.02312199740384781,0.9976084634834281,-0.18041153596889176,0.21836424241584834,-0.09008425145819832
65, Jamaica,0.0001616031027795728,-0.01994752694383844,1.0022488635818803,0.14286201806997637,-0.3163596679021583,0.05505455972562301
66, Japan,0.00025856496444731647,-0.004433127934034571,1.000303064137942,0.052256916356576616,-0.14912698275812508,0.017311114706358155
67, Mexico,0.0010342598577892659,-0.05935404253389619,1.0167385469131707,0.17267885576236755,-0.24224120080679845,0.12838814766009632
68, Nicaragua,9.696186166774368e-05,-0.01399847555043887,1.0008086689309397,0.19521267992883715,-0.6493991236220253,-0.03988355167394464
69, Outlying-US(Guam-USVI-etc),0.0,-0.012519604784250753,1.000646830530401,0.19518111254851228,-0.649012307623425,0.16025226390685643
70, Peru,6.464124111182912e-05,-0.022586480311653043,1.0021052631578948,0.1954655870445344,-0.6495288855541878,0.08340080971659924
71, Philippines,0.00019392372333548735,0.013837895106228243,0.9994945424242837,-0.30504364694471386,0.35132464278308095,0.16020045263498217
72, Poland,0.0001616031027795728,-0.006361037441176972,1.0004649254751812,0.07014563106796118,-0.4829394287904926,-0.21512944983818771
73, Portugal,3.232062055591456e-05,-0.012519604784250753,1.000646830530401,0.19518111254851228,-0.649012307623425,0.16025226390685643
74, Puerto-Rico,0.0006464124111182912,-0.02567069921763046,1.0033874130861116,0.1572541382667965,-0.3164737674875115,0.08357676079195075
75, Scotland,0.0,0.003526649235000212,0.9998177942167884,-0.05498059508408798,0.351292285025591,0.16025226390685643
76, Thailand,0.0,0.02582644190678647,0.9993329948984354,-0.805075157588492,0.3513408113480485,0.16017455956036852
77, Trinadad&Tobago,3.232062055591456e-05,0.000354890929447746,0.9999794985341453,-0.00494905385735081,-0.4488157830145537,-0.03988355167394464
78, United-States,0.0041370394311570635,0.03738038488911452,0.7492957746478872,-0.05338743824982356,0.0034182999686605403,-0.04887085391672541
79, Yugoslavia,0.0,-0.012519604784250753,1.000646830530401,0.19518111254851228,-0.6497540908255194,-0.3400711513583441
80,Not known,0.0,0.01564993954887083,0.9958637610378789,-0.04847029541048736,0.08887008852728781,-0.004982808274365591
81,age between 10 and 20,0.008823529411764675,-0.1172097857282248,1.0566939890710383,0.20611338797814208,-0.6547217733052692,0.16922814207650272
82,age between 20 and 30,0.025824175824175843,-0.2568196386626173,1.2914740350499947,0.2390007882509127,-0.5880504932959212,0.14060713758896637
83,age between 30 and 40,0.00659340659340657,0.010071122647926608,0.987734844921904,-0.009048925537446129,-0.026907777449257042,-0.029910815955586312
84,age between 40 and 50,0.029508726567550103,0.19685817485034074,0.7829571571689551,-0.18605874381894258,0.21232456663831178,-0.07770183529859265
85,age between 50 and 60,0.021784098254686524,0.13800314654107462,0.8888174756412045,-0.15956873591089896,0.12570522022024305,-0.10226344042143487
86,age between 60 and 70,0.006011635423400108,0.02637388873620783,0.9860855663565661,-0.04295325168190442,-0.004990198188642492,-0.06383361708829904
87,age>70,0.0007433742727860349,-0.03757817456256979,1.0101742031134173,0.11370614035087719,-0.16296162667677722,0.06875609161793372
88,hour<10,0.00255332902391725,-0.05745445003302002,1.0144172665195437,0.18711441601171416,-0.5095472888693228,0.0970917462753711
89,hours between 10 and 20,0.003522947640594687,-0.08112614369364654,1.0322336704792514,0.17064052749322972,-0.33525664236394775,0.11618391616625456
90,hours between 20 and 30,0.005042016806722671,-0.10974334219176646,1.0600043937803598,0.17326627582032122,-0.27891005211508657,0.12043733881734431
91,hours between 30 and 40,0.0004848093083387184,-0.0966010721006835,1.0706487923525088,0.12010294699926465,-0.15039196753376308,0.07430850161208213
92,hour between 40 and 50,0.026890756302521024,-0.06671390228454135,1.1550031258044349,0.05334724061760848,-0.1571590495945857,-0.014715068185151559
93,hour>70,0.042630898513251414,0.2846376715645063,0.7117052598074322,-0.2824446034191797,0.3569801313067993,-0.10711992809450432
