variable,data,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob,kurtosis_var,skew_var
 Adm-clerical,adult,-0.0929180811171294,0.0049054852097297,0.2543290043290043,0.124223602484472,1.0562334756965628,0.0957870631783675,0.0745027918940962,-0.0381069285324604,0.7456709956709957,0.8757763975155279,0.1301054018445323,-0.1301054018445322,4.73444342527703,2.5944909789073805
 Armed-Forces,adult,-0.0143229304544276,0.0001781367838062,0.2409443725743855,0.0,1.000646830530401,0.1853169469598965,0.1662354463130659,-0.3062281421663526,0.7590556274256145,1.0,0.2409443725743855,-0.2409443725743855,1544.4974120502932,39.312835435307015
 Craft-repair,adult,0.005075940450402,1.2826062865470278e-05,0.2399403874813711,0.2463414634146341,0.9964772602246472,0.1291392533895533,-0.0812202391770564,-0.2324445191272535,0.760059612518629,0.7536585365853659,-0.006401075933263,0.0064010759332631,2.705407197203099,2.1687920153929925
 Exec-managerial,adult,0.196806472711653,0.0172026952442764,0.20817843866171,0.4579207920792079,0.8645692472742695,-0.4104806949096397,-0.0765394383304501,0.3193845552023731,0.79182156133829,0.5420792079207921,-0.2497423534174979,0.2497423534174978,2.815087536639977,2.1939161895391064
 Farming-fishing,adult,-0.0524972585493874,0.0016176600602438,0.2446737683089214,0.1111111111111111,1.0161350861044334,0.1793016718449475,0.0681091877496671,-0.2604709137952228,0.7553262316910786,0.8888888888888888,0.1335626571978103,-0.1335626571978102,29.457258750606837,5.606979367445328
 Handlers-cleaners,adult,-0.0918304845955206,0.005755285824499,0.2485723883103796,0.0427350427350427,1.032326133466194,0.1835927294442578,0.1193595342066957,-0.3051546537437239,0.7514276116896204,0.9572649572649572,0.2058373455753368,-0.2058373455753369,21.520446341281385,4.848353913726852
 Machine-op-inspct,adult,-0.050916780655649,0.0014134297801948,0.2465421853388658,0.1584158415841584,1.0238946596489271,0.1928365035673691,0.0135471015981265,-0.3048193537605873,0.7534578146611342,0.8415841584158416,0.0881263437547074,-0.0881263437547074,10.405426034250558,3.52117881600715
 Other-service,adult,-0.1761233241397945,0.021842498446848,0.2672476397966594,0.0264705882352941,1.1098848289004888,0.2080610021786492,0.1568990559186637,-0.3154665079501875,0.7327523602033406,0.973529411764706,0.2407770515613652,-0.2407770515613653,4.2322317245244285,2.4958959062475743
 Priv-house-serv,adult,-0.0267054746806807,0.0004549253715966,0.2415584415584415,0.0714285714285714,1.003197071384991,0.186038961038961,0.0951298701298701,-0.3067623177198409,0.7584415584415585,0.9285714285714286,0.1701298701298701,-0.1701298701298701,216.3559638451203,14.772139623413626
 Prof-specialty,adult,0.1961355137931054,0.0170161554677355,0.2093623295245116,0.4645669291338583,0.8694859698642132,-0.273704038008887,-0.0649695787657946,0.1707622793820187,0.7906376704754884,0.5354330708661417,-0.2552045996093466,0.2552045996093467,3.268387888494599,2.294836721760781
 Protective-serv,adult,0.0503533491990959,0.0011349196720005,0.2378129117259552,0.396551724137931,0.9876418105773228,0.048169097269547,-0.1645427286356822,-0.1517488698992744,0.7621870882740448,0.603448275862069,-0.1587388124119758,0.1587388124119758,48.4441220696696,7.1001977155117055
 Sales,adult,0.0111174972329113,6.1114497328707e-05,0.2391461649782923,0.2545454545454545,0.9931788381783038,-0.0538832609744331,-0.0277397710827522,0.0475585196237536,0.7608538350217077,0.7454545454545455,-0.0153992895671621,0.0153992895671621,4.50436427108912,2.549794699872081
 Tech-support,adult,0.0329667082488482,0.0005094539376011,0.2383488681757656,0.3222222222222222,0.989867648504455,-0.118242343541944,-0.0348868175765645,0.0900812474590664,0.7616511318242344,0.6777777777777778,-0.0838733540464566,0.0838733540464565,29.457258750606837,5.606979367445328
 Transport-moving,adult,-0.0234342623184741,0.000286462109486,0.2431052093973442,0.197452229299363,1.0096208293629303,0.1548375763648074,-0.0732581667241367,-0.2948150920287143,0.7568947906026557,0.802547770700637,0.0456529800979811,-0.0456529800979812,14.7862851733381,4.095940374453019
 Husband,adult,0.4265551777198845,0.0910521512637804,0.0945300053106744,0.4682080924855491,0.3925850153439285,-0.3429068728722767,-0.2236315804014624,0.2194409445949859,0.9054699946893257,0.5317919075144508,-0.3736780871748746,0.3736780871748747,-1.8029377031612228,0.4452282070740007
 Not-in-family,adult,-0.1905966256067301,0.0205798271912876,0.2892778993435448,0.103831891223733,1.2013769403609766,0.2323548265816998,0.0927205697392301,-0.3000694076994353,0.7107221006564551,0.896168108776267,0.1854460081198118,-0.1854460081198118,-0.8208645316655128,1.0861245340432584
 Other-relative,adult,-0.0940790716459397,0.0075983569611736,0.2475083056478405,0.0,1.027906976744186,0.1903654485049833,0.1707641196013288,-0.3075470020889817,0.7524916943521595,1.0,0.2475083056478405,-0.2475083056478405,31.914730784123577,5.821864058849184
 Own-child,adult,-0.2365477301570128,0.0432782263460731,0.2840214067278288,0.00418410041841,1.179546620692486,0.2190366972477064,0.1915345540158407,-0.3161735909959407,0.7159785932721712,0.99581589958159,0.2798373063094187,-0.2798373063094188,1.6601453031239353,1.91287024713012
 Unmarried,adult,-0.1362548039363376,0.0114450842830454,0.2613595056343148,0.075801749271137,1.085431289171235,0.191893114934087,0.1179830710910319,-0.2220008114524092,0.7386404943656852,0.924198250728863,0.1855577563631777,-0.1855577563631777,4.153738240987641,2.480131776833474
 Wife,adult,0.0841841406913759,0.0031972718416269,0.2321367521367521,0.3905325443786982,0.96406860551827,-0.3048257725180802,-0.1121893491124259,0.2338250976938752,0.7678632478632479,0.6094674556213018,-0.158395792241946,0.1583957922419461,13.38903600546689,3.921782959649277
 Canada,adult,0.0183472726813836,0.0001539173115907,0.2402597402597402,0.3571428571428571,0.997803538743136,-0.1009740259740259,-0.0483766233766234,0.0496361746361746,0.7597402597402597,0.6428571428571428,-0.1168831168831169,0.1168831168831169,216.3559638451202,14.772139623413622
