data,variable,correlation_true,mutual_info,unpriv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,skew_var,gini,simpson,shannon,ir,pos_prob
compas,c_charge_desc=Poss_Similitude_of_Drivers_Lic,0.0057736808316232,1.658326056956823e-05,0.5504885993485342,1.000297867842764,0.9085545722713864,1.0,1.0,1.0,17.507002008593346,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.0504885993485342
compas,c_charge_desc=Poss_Unlaw_Issue_Id,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Poss_Wep_Conv_Felon,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Poss_of_Cocaine_W_I_D_S_1000FT_Park,0.0057736808316232,1.658326056956823e-05,0.5504885993485342,1.000297867842764,0.9085545722713864,0.0,1.0,0.0,17.507002008593346,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.0504885993485342
compas,c_charge_desc=Poss_of_Methylethcathinone,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,"c_charge_desc=Poss3,4_Methylenedioxymethcath",-0.0644733579048632,0.0022616594732322,0.5462046204620462,0.9925134106330988,1.4536873156342185,0.0,0.0,0.0,7.6748428297610225,0.1116415958842377,8.711317418893116e-05,0.998722562003004,0.0164049918505364,0.2537953795379538
compas,c_charge_desc=Possess_Cannabis_20_Grams_Or_Less,0.0273360430725118,0.0003717406022221,0.5515548281505729,1.0022353219491231,0.7268436578171092,0.0,0.0,1.0,10.99073052269663,0.1121034558571381,8.571084667540815e-05,0.998715320744411,0.0080858302134897,0.1515548281505728
compas,c_charge_desc=Possess_Countrfeit_Credit_Card,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Possess_Drug_Paraphernalia,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Possession_Burglary_Tools,0.0273360430725118,0.0003717406022221,0.5515548281505729,1.0022353219491231,0.7268436578171092,1.0,1.0,1.0,10.99073052269663,0.1121034558571381,8.571084667540815e-05,0.998715320744411,0.0080858302134897,0.1515548281505728
compas,c_charge_desc=Possession_Of_Alprazolam,0.0057736808316232,1.658326056956823e-05,0.5504885993485342,1.000297867842764,0.9085545722713864,0.0,1.0,0.0,17.50700200859335,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.0504885993485342
compas,c_charge_desc=Possession_Of_Anabolic_Steroid,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Possession_Of_Methamphetamine,-0.0163609252962176,0.0001373086910378,0.5497553017944535,0.9989653861515732,1.2114060963618487,1.0,0.0,1.0,14.259310080841596,0.1122881998462983,8.51561306686513e-05,0.9987120137073364,0.0047961649919235,0.1169113648722131
